sample_id,rep,prompt_version,news_desk,model,vader_compound
47,1,E,Business,Claude-Haiku-4.5,0.29623333333333335
47,2,E,Business,Claude-Haiku-4.5,-0.24822500000000003
48,0,E,Business,Claude-Haiku-4.5,0.21957500000000002
48,1,E,Business,Claude-Haiku-4.5,0.48160000000000003
48,2,E,Business,Claude-Haiku-4.5,0.15517499999999998
49,0,E,Business,Claude-Haiku-4.5,-0.778675
49,1,E,Business,Claude-Haiku-4.5,-0.8336
49,2,E,Business,Claude-Haiku-4.5,-0.33116666666666666
50,0,E,Foreign,Claude-Haiku-4.5,-0.47375
50,1,E,Foreign,Claude-Haiku-4.5,-0.547325
50,2,E,Foreign,Claude-Haiku-4.5,-0.8840250000000001
51,0,E,Foreign,Claude-Haiku-4.5,0.7051
51,1,E,Foreign,Claude-Haiku-4.5,-0.1455
51,2,E,Foreign,Claude-Haiku-4.5,0.8569
52,0,E,Foreign,Claude-Haiku-4.5,0.29473333333333335
52,1,E,Foreign,Claude-Haiku-4.5,0.9577333333333334
52,2,E,Foreign,Claude-Haiku-4.5,0.5998749999999999
53,0,E,Foreign,Claude-Haiku-4.5,-0.168825
53,1,E,Foreign,Claude-Haiku-4.5,-0.19124999999999995
53,2,E,Foreign,Claude-Haiku-4.5,-0.238425
54,0,E,Foreign,Claude-Haiku-4.5,-0.03092499999999998
54,1,E,Foreign,Claude-Haiku-4.5,-0.507025
54,2,E,Foreign,Claude-Haiku-4.5,0.25382499999999997
55,0,E,Foreign,Claude-Haiku-4.5,-0.9035
55,1,E,Foreign,Claude-Haiku-4.5,-0.58155
55,2,E,Foreign,Claude-Haiku-4.5,-0.9611666666666667
56,0,E,Foreign,Claude-Haiku-4.5,-0.10516666666666667
56,1,E,Foreign,Claude-Haiku-4.5,-0.6583666666666667
56,2,E,Foreign,Claude-Haiku-4.5,-0.7409749999999999
57,0,E,Foreign,Claude-Haiku-4.5,-0.24545
57,1,E,Foreign,Claude-Haiku-4.5,-0.13433333333333333
57,2,E,Foreign,Claude-Haiku-4.5,0.018399999999999972
58,0,E,Foreign,Claude-Haiku-4.5,0.049600000000000005
58,1,E,Foreign,Claude-Haiku-4.5,0.651425
58,2,E,Foreign,Claude-Haiku-4.5,0.433925
59,0,E,Foreign,Claude-Haiku-4.5,0.10290000000000002
59,1,E,Foreign,Claude-Haiku-4.5,-0.4308
59,2,E,Foreign,Claude-Haiku-4.5,0.18817499999999998
60,0,E,Foreign,Claude-Haiku-4.5,0.7587
