sample_id,rep,prompt_version,news_desk,model,sentiment,n_chunks,word_count
31,0,E,Business,Claude-Haiku-4.5,0.20247255017360052,3,911
31,1,E,Business,Claude-Haiku-4.5,-0.64247993628184,3,968
31,2,E,Business,Claude-Haiku-4.5,-0.8272485579364002,3,909
32,0,E,Business,Claude-Haiku-4.5,-0.4695242615416646,3,955
32,1,E,Business,Claude-Haiku-4.5,-0.5130065513464311,3,988
32,2,E,Business,Claude-Haiku-4.5,-0.2538945749402046,3,929
33,0,E,Business,Claude-Haiku-4.5,-0.9895688416048264,3,1021
33,1,E,Business,Claude-Haiku-4.5,-0.9962355229460323,3,930
33,2,E,Business,Claude-Haiku-4.5,-0.991314374958165,3,1056
34,0,E,Business,Claude-Haiku-4.5,-0.5380202181841014,4,1034
34,1,E,Business,Claude-Haiku-4.5,-0.9735602918080986,3,944
34,2,E,Business,Claude-Haiku-4.5,-0.9900052242446691,3,957
35,0,E,Business,Claude-Haiku-4.5,-0.9537975688775381,3,987
35,1,E,Business,Claude-Haiku-4.5,-0.7200067872181535,3,919
35,2,E,Business,Claude-Haiku-4.5,-0.17743933200836182,3,921
36,0,E,Business,Claude-Haiku-4.5,-0.9904739850511154,3,955
36,1,E,Business,Claude-Haiku-4.5,-0.991627208966141,3,934
36,2,E,Business,Claude-Haiku-4.5,-0.9868256563010315,3,922
37,0,E,Business,Claude-Haiku-4.5,-0.9902968233218417,3,930
37,1,E,Business,Claude-Haiku-4.5,-0.9982040376829294,3,919
37,2,E,Business,Claude-Haiku-4.5,-0.38475708599435166,3,915
38,0,E,Business,Claude-Haiku-4.5,-0.992529594223015,3,949
38,1,E,Business,Claude-Haiku-4.5,-0.9948903810388098,3,958
38,2,E,Business,Claude-Haiku-4.5,-0.989278134831693,3,968
39,0,E,Business,Claude-Haiku-4.5,-0.8777023876706759,3,974
39,1,E,Business,Claude-Haiku-4.5,-0.2711621544634302,3,1015
39,2,E,Business,Claude-Haiku-4.5,-0.9762126154576739,3,988
40,0,E,Business,Claude-Haiku-4.5,-0.9626975721330382,4,999
40,1,E,Business,Claude-Haiku-4.5,-0.993215716604027,4,1054
40,2,E,Business,Claude-Haiku-4.5,-0.986492497070382,3,969
41,0,E,Business,Claude-Haiku-4.5,-0.9902182691730559,3,1038
41,1,E,Business,Claude-Haiku-4.5,-0.9302594218946373,3,1046
41,2,E,Business,Claude-Haiku-4.5,-0.9911434727643306,3,986
42,0,E,Business,Claude-Haiku-4.5,0.9598208424868062,4,948
42,1,E,Business,Claude-Haiku-4.5,0.9737625597044826,3,900
42,2,E,Business,Claude-Haiku-4.5,0.9793807396975657,3,840
43,0,E,Business,Claude-Haiku-4.5,-0.9510007007047534,3,975
43,1,E,Business,Claude-Haiku-4.5,-0.6723900977522135,3,962
43,2,E,Business,Claude-Haiku-4.5,-0.9727940696757287,3,935
44,0,E,Business,Claude-Haiku-4.5,-0.8616259470582008,3,978
